epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,535.684,3.02524,3.89003,3.26929,0.38363,0.39166,0.27313,0.08549,2.48011,2.90835,2.82091,0.00999212,0.00333071,0.00999212,0.00333071,0.00999212,0.00333071,0.00999212,0.00333071
2,927.019,2.27534,1.97852,2.19505,0.68141,0.65481,0.64838,0.26321,2.05084,1.7089,2.20969,0.0197942,0.00659807,0.0197942,0.00659807,0.0197942,0.00659807,0.0197942,0.00659807
3,1296.44,2.14261,1.66261,2.01964,0.67661,0.70049,0.67634,0.29439,1.9593,1.69319,2.09087,0.0293983,0.00979943,0.0293983,0.00979943,0.0293983,0.00979943,0.0293983,0.00979943
4,1657.57,2.08019,1.52969,1.92114,0.82626,0.75856,0.80031,0.38098,1.86474,1.33041,1.97543,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2018.85,2.01289,1.43385,1.85193,0.77666,0.73232,0.7626,0.35658,1.8726,1.4269,1.97187,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2378.82,1.97221,1.37688,1.80071,0.82101,0.7825,0.81071,0.3924,1.79357,1.28401,1.87784,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2739.1,1.95241,1.34604,1.77622,0.78851,0.75456,0.78852,0.38421,1.8109,1.3276,1.87848,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3098.81,1.93258,1.31808,1.76152,0.84249,0.79824,0.82738,0.40388,1.80238,1.18684,1.87071,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3458.43,1.91767,1.28518,1.7406,0.81747,0.79811,0.82266,0.40527,1.76234,1.21882,1.81253,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3818.01,1.90329,1.27469,1.72729,0.83133,0.78839,0.83272,0.41615,1.76159,1.19161,1.80197,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4179.23,1.8922,1.25159,1.71469,0.83432,0.80743,0.83435,0.41808,1.73899,1.15184,1.81041,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4539.42,1.87948,1.24603,1.70063,0.83575,0.8057,0.82761,0.41105,1.76504,1.14873,1.80127,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4899.08,1.8721,1.23661,1.69225,0.85864,0.8021,0.8472,0.42861,1.74077,1.12682,1.78556,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5257.56,1.85641,1.21564,1.68031,0.85449,0.81183,0.84814,0.43055,1.72421,1.09331,1.78936,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,5618.04,1.85143,1.21176,1.67219,0.85802,0.81569,0.85224,0.4266,1.73159,1.07372,1.77277,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5979.15,1.8495,1.19456,1.66788,0.85435,0.81238,0.84722,0.43271,1.72717,1.08874,1.781,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6341.58,1.84148,1.19345,1.66029,0.86183,0.80983,0.85175,0.4347,1.72495,1.10525,1.76413,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,6702.39,1.8357,1.18206,1.65568,0.85541,0.82594,0.85695,0.43164,1.7136,1.04008,1.7548,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7063.69,1.82869,1.18069,1.64702,0.86245,0.81795,0.85678,0.43603,1.71276,1.05018,1.74282,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,7423.84,1.82015,1.16379,1.63675,0.86655,0.82647,0.8531,0.42976,1.70209,1.03264,1.74028,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7784.17,1.81251,1.15312,1.62647,0.87325,0.82741,0.86294,0.44104,1.70586,1.03032,1.73765,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8144.15,1.80535,1.14013,1.61337,0.86754,0.82947,0.86469,0.44036,1.70766,1.01163,1.72433,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,8504.65,1.80456,1.14099,1.61884,0.86716,0.82514,0.86341,0.43902,1.70659,1.01498,1.72931,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,8864.75,1.80231,1.14045,1.61135,0.86237,0.82901,0.86134,0.44203,1.70369,1.01785,1.73422,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,9225.68,1.79812,1.14553,1.60967,0.86433,0.83127,0.86631,0.44483,1.69311,1.00766,1.71106,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,9588.74,1.78725,1.12943,1.59595,0.86962,0.83287,0.8677,0.44395,1.7021,1.00115,1.71548,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9950.31,1.79204,1.12989,1.60125,0.87358,0.82994,0.8689,0.44554,1.69702,1.00071,1.71689,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,10311.9,1.78488,1.11959,1.58745,0.8759,0.83473,0.86835,0.44789,1.6834,1.00141,1.70018,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,10673.2,1.78441,1.12076,1.58826,0.88068,0.83247,0.86956,0.44473,1.68875,0.9813,1.69943,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,11031.8,1.77294,1.11094,1.58321,0.87486,0.83885,0.87223,0.44872,1.68855,0.97779,1.70817,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,11392.2,1.76688,1.09366,1.5779,0.87916,0.8374,0.87346,0.45102,1.68911,0.97677,1.70899,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,11752.2,1.77241,1.09512,1.58607,0.87768,0.8361,0.87404,0.45021,1.69575,0.9686,1.71508,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,12113.5,1.76421,1.09095,1.57961,0.87706,0.83512,0.87309,0.45165,1.68513,0.9644,1.70627,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12473.2,1.76378,1.08778,1.57252,0.87577,0.83806,0.8719,0.45012,1.69034,0.96309,1.70721,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12833.9,1.75137,1.08167,1.57012,0.8777,0.8374,0.87296,0.45081,1.68611,0.96347,1.70591,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,13193.4,1.75536,1.08051,1.57154,0.87596,0.83892,0.87136,0.45205,1.68232,0.96233,1.69978,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13553.1,1.74606,1.06292,1.55601,0.8795,0.83881,0.87319,0.45201,1.68626,0.95818,1.70005,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13912,1.75623,1.07233,1.56485,0.87948,0.8342,0.87168,0.45228,1.68666,0.95436,1.69642,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,14269,1.74567,1.07533,1.55567,0.877,0.83657,0.87331,0.45226,1.68618,0.95358,1.69651,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14628.8,1.73351,1.05119,1.55007,0.87963,0.83593,0.87399,0.45257,1.68394,0.94628,1.69291,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14988.3,1.73265,1.0549,1.55319,0.87766,0.8358,0.87353,0.4524,1.68431,0.94276,1.69269,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,15366.1,1.73125,1.04971,1.54185,0.87812,0.83553,0.87354,0.45255,1.68738,0.9414,1.69288,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,15772.1,1.72827,1.04484,1.53701,0.87723,0.83736,0.87173,0.4516,1.68854,0.94032,1.69094,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,16132.2,1.72606,1.048,1.52438,0.87848,0.83646,0.87209,0.45189,1.68947,0.93783,1.68843,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
